Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Klaus Janson,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Romulo Fajardo, Jr",color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea King,,Justice League vol 2 #23,Oct-2013,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ivan Reis,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Prado,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oclair Albert,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eber Ferreira,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rod Reis,color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Cardona,,Cyborg #1,Sep-2015,N,David F. Walker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ivan Reis,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Prado,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adriano Lucas,color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secret Six
(Mockingbird, August Durant, Lili de Neuve, Carlo Di Rienzi, Tiger Force, Crimson Dawn, King Savage)",,Secret Six #1,Apr-1968,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Springer,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secret Six
(Mockingbird, Mitch Hoberman, LaDonna Jameal, Tony Mantegna, Luke McKendrick, Vic Sommers, Dr. Maria Verdugo)",,"Action Comics Weekly #601
""Listening to the Mockingbird""",1988,N,Martin Pasko,writer,WFH,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dan Spiegle,"pencils, inks",WFH,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dave Gibbons,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carl Gafford,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secret Six
(Mockingbird, Scandal Savage, Ragdoll, Parademon, Deadshot, Cheshire, Fiddler, Knockout, Black Alice, Catman, Bane)",,Villains United #1,Jul-2005,Y,"Tamra L. James
(Gail Simone)",writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dale Eaglesham,"pencils, variant cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wade Von Grawbadger,"inks, variant cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J.G. Jones,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sno Cone,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sela,Supergirl 519,JLA #70,Oct-2002,Y,Joe Kelly,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Doug Mahnke,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Nguyen,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,David Baron,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensei,Gotham 320,"Strange Adventures #215
""A New Lease on Death""",Nov-1968,Y,Neal Adams,"writer, pencils, inks, cover",Creator Recognition,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergeant Preus,,"Adventures of Superman #625
""Unravel""",Apr-2004,N,Joe Kelly,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael Turner,writer; cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Daryl ""Talent"" Caldwell",pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jason Gorder,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Peter Steigerwald,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Christina Strain,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serling Roquette,"Supergirl 116
(3/14/2016)",Superboy #56,Oct-1998,N,Karl Kesel,writer,Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Grummett,"pencils, cover pencils",WFH; Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Buzz Setzer,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seven Deadly Sins
(Pride, Envy, Wrath, Sloth, Greed, Gluttony, Lust)",,Whiz Comics #2,Feb-1940,N,Bill Parker,writer,None,,See also: Fawcett Purchase Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,C.C. Beck,"pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justice League vol 2 #14,Jan-2013,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gary Frank,"pencils, inks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sgt. Elliot ""Lucky"" Taylor
(Patchwork)",,"Weird War Tales #93
""The Creature Commandos""",Nov-1980,Y,J.M. DeMatteis,writer,None,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pat Broderick,pencils,None,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Celardo,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Kubert,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sgt. Rock,,"Our Army At War #81
""The Rock of Easy Co.""",Apr-1959,Y,Robert Kanigher,plot,N/A,,"Kanigher was an employee of DC from 2/3/47 - 5/31/82.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Haney,script,Creator Recognition,,Deceased Creator Recognition Agreement is with heir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ross Andru,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Esposito,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Jerry Grandenetti
(Charles J. Grandenetti)",cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sgt. Warren Griffith
(Wolfpack)",,"Weird War Tales #93
""The Creature Commandos""",Nov-1980,Y,J.M. DeMatteis,writer,None,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pat Broderick,pencils,None,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Celardo,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Kubert,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Shade
(Richard ""Dick"" Swift)",,"Flash Comics #33
""The Man Who Commanded The Night""",Sep-1942,N,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Harold Wilson Sharp,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sheldon Moldoff,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shade, The Changing Man
(Rac Shade)",,"Shade, The Changing Man #1",Jun-1977,Y,Steve Ditko,"plot, pencils, inks, cover",None,"1985
2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael L. Fleisher,script,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Liz Berube,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shade, the Changing Girl
(Loma Shade)",,"Shade the Changing Girl #1
""Earth Girl Made Easy Chapter 1: Running off the Great Blue""",Dec-2016,Y,Cecil Castellucci,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Marley Zarcone,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rebecca Cloonan,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kelly Fitzpatrick,color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shado,Arrow 114,Green Arrow: The Longbow Hunters #1,1987,N,Mike Grell,"writer, pencils, inks, cover",Prestige,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lurene Haines,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Julia Lacquement,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shadow Lass
(Tasmia Mallor)",,"Adventure Comics #365
""Superman's Funeral""",Jul-1968,N,"James ""Jim"" Shooter",writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Klein,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Neal Adams,cover,Creator Recognition,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowspire,Arrow 411,Deathstroke #53,Nov-1995,N,Tom Joyner,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,David Zimmerman,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael T. Collins,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt A. Shoultz,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,David A. Roach,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sergio Cariello,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Loughridge,cover,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shadow Thief
(Carl Sands)",,"The Brave and the Bold #36
""Shadow-Thief of Midway City!""",Jun-1961,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Kubert,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shadow Thief
(Carl Hammer)",,Vigilante #14,Feb-1985,Y,Marv Wolfman,writer,Writer Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Trevor Von Eeden,"pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tatjana Wood,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shadow Thief
(Aviva Metula)",Arrow 718,The Savage Hawkman #17,Apr-2013,Y,Tom DeFalco,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Benedito Jose Nascimento
(Joe Bennett)","pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Art Thibert,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jack Jadson,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Guy Major,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadowy Mister Evans,Doom Patrol 204,Doom Patrol #47,September-1991,N,Grant Morrison,writer,Writer,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richcard Case,pencils,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark McKenna,inks,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shazam
(The Wizard Shazam; Jebediah of Canaan; for Billy Batson, see Captain Marvel)",Shazam,"in Fawcett Comics:
Whiz Comics #2
""The Return of Sivana""",Mar-1940,N,Bill Parker,writer,None,,See also: Fawcett Purchase Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"in DC Comics:
Shazam! #1",Feb-1973,N,Dennis O'Neil,writer,Creator Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shimmer
(Selina Flinders)",,New Teen Titans #3,Jan-1981,N,Marv Wolfman,writer,Exclusive,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"pencils, cover",Exclusive,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Chiaramonte,inks,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shining Knight
(Justin Arthur)",Stargirl 101,"Adventure Comics #66
""The Shining Knight""",Sep-1941,N,Henry Lynne Perkins,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Creig Flessel,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jack Burnley,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shining Knight
(Ystina)",,Seven Soldiers: Shining Knight #1,May-2005,Y,Grant Morrison,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Simone Bianchi,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nathan Eyring,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shining Knight
(Ystin)",,Demon Knights #1,Nov-2011,N,Paul Cornell,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Diogenes Neves,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Oclair Albert,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony S. Daniel,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Marcelo Maiolo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiruta
 (Black Adam’s wife)",,Hawkman vol 4 #24  ,March-2004,N,Geoff Johns,writer,WFH,,,The library does not believe Shiruta has ever actually made a physical appearance in the comics but is more of a named but unseen character  (the image they were abe to locate of her as a person appear to just be the statues). The information listed here is for the first issue she is named/shown as a statue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Ralph ""Rags"" Morales",pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Dell III,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiruta,,Hawkman vol 4 #19,November-2003,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scot Eaton,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ray Kryssing,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiv
(Cindy Burman)",Stargirl 101,Stars & S.T.R.I.P.E. #1,Aug-1999,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Moder,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dan Davis,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom McCraw,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Heroic Age,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrinking Violet
(Salu Digby)",,"Action Comics #276
""Supergirl's Three Super Girl-Friends""",May-1961,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,James (Jim) Mooney,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Watch,Supergirl 417,"Superman's Pal, Jimmy Olsen #1
""The Boy of 100 Faces!""",Sep-1954,N,Otto Binder,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ray Burnley ,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silas Stone,,"DC Comics Presents #26
""Where Nightmares Begin""",Oct-1980,N,Marv Wolfman,writer,Exclusive,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,pencils,None,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Starlin,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Silencer,,"World's Finest #274
""Silence, Please""",Dec-1981,N,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Don Newton,pencils,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Larry Mahlstedt,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ross Andru,cover pencils,N/A,,"Andru was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Silencer
(Honor Guest)",Arrow 702,The Silencer #1,Mar-2018,Y,Dan Abnett,writer,Creator Rights; Writer; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Romita Jr.,"pencils, cover pencils",Creator Rights; Artist; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sandra Hope Archer,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dean White,color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver Banshee 
(Siobhan McDougal)",,Action Comics #595,Dec-1987,Y,John Byrne,"Writer, Pencils, Cover",WFH; Continuity,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Williams,Inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Thomas Ziuko,Color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver Banshee 
(Siobhan Smythe)","Supergirl 114
(2/22/2016)",Supergirl #6,Apr-2012,N,Michael Green,Writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael F. Johnson,Writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mahmud Asrar,"Pencils, Inks, Cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dave McCaig,Color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver Ghost
(Raphael Van Zandt)",Flash 510,Freedom Fighters #1,Mar-1976,N,Gerry Conway,writer (plot),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Martin Pasko,writer (script),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ric Estrada,pencils (layouts),None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Royer,"pencils (finishes), inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ernie Chan,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver St. Cloud,"Gotham 204
(10/12/2015)",Detective Comics #470,Jun-1977,N,Steve Englehart,writer,Exclusive,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Walter Simonson,pencils,None,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Milgrom,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Aparo,cover,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jerry Serpe,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Dark,,Simon Dark #1,Dec-2007,Y,Steve Niles,writer; creator,Sole Creator/First & Last Rights; Writer,Y,This property has reverted to the creator. The property and associated characters are not available for use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scott Hampton,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Chris Chuckry,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Stagg,"""Samuel"" Movie",The Brave and the Bold #57,Dec-1964,N,Bob Haney,writer,Contributor Recognition,2014,Deceased Contributor recognition agreement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ramona Fradon,"pencils, cover pencils",Creator Recognition,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Paris,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinestro,"Green Lantern
(2011)","Green Lantern #7
""The Day 100,000 People Vanished""",Jul-1961,N,John Broome,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gil Kane,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Giella,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Malcolm Jones,"Point Blank
Sleeper",Sleeper #7,Sep-2003,Y,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
