Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Location,,,,,Rich Faber,inks,WFH,,,,BBDD350E-00F4-F941-A521-6D394163FE16
,Location,,,,,Dennis Janke,cover inks,None,,,,E1A3FEE8-83A9-C44B-96B8-DDAF9150A213
,Location,,,,,Gina Going-Raney,color,N/A,,,,23489B62-CD55-FD40-B450-BCE12F6F7785
Almerac,Location,"Supergirl 119
(4/11/2016)",Action Comics #645,Sep-89,N,Roger Stern,writer,WFH,Y,,,976434C3-4AEC-544B-8DAF-B9687C6E601B
,Character,,,,,George Perez,"writer, pencils, cover",WFH,Y,,,5036160B-B373-834C-B767-5D96A3799815
,Character,,,,,Brett Breeding,inks,WFH,,,,742DA355-BB64-DC4D-A5B7-08DB5D027763
,Character,,,,,Glenn Whitmore,color,N/A,,,,084B8544-5A22-324E-A0BE-E15121716A5A
Amalak,Character,Supergirl 217,Superman #190,Oct-66,N,Jim Shooter,writer,None,,,,683F7EE3-A60A-3640-A146-F9ED5AD368A4
,Character,,,,,Wayne Boring,"pencils, inks",None,,Deceased,,5C3EB635-BE50-614E-BE5E-AD5071000463
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,E1033E12-82A1-094E-8710-C455282BBC91
,Character,,,,,George Klein,cover inks,None,,Deceased,,558BE77F-6E4D-DD4F-BDEB-84F1F25950EB
Amanda Waller,Character,"Suicide Squad
(2016)","Legends #1
""Once Upon A Time""",Nov-86,N,John Ostrander,plot,WFH,2004,,,C7F7B373-EEEF-A249-A4AA-DC87B7B6C4B0
,Character,,,,,Len Wein,dialogue,WFH,,Deceased,,0A2C8F21-D1BA-1742-81AF-BF2AAB306E25
,Character,,,,,John Byrne,"pencils, cover",Continuity; WFH,,Character equity agreement sent; never signed.,,D33DE310-4109-D248-8418-1506822F6E7A
,Character,,,,,Karl Kesel,inks,WFH,,,,C4EFD37E-9C77-DD48-852F-E7A49D20615B
,Character,,,,,Thomas Ziuko,color,N/A,,,,BE6E9FB7-F26E-3A4C-8C7D-3F761752DEB0
Amandiel,Character,"Lucifer 101
(1/25/2016)",Sandman Presents: Lucifer #1,Mar-99,N,Mike Carey,writer,WFH,,,,6F0F5027-6B12-6B42-BB8E-68B025B9C91B
,Character,,,,,Scott Hampton,"pencils, inks, cover",WFH,,,,3326A1DB-DA0B-A147-A73F-C5618588DE2E
,Character,,,,,Todd Klein,color,N/A,,,,8F93AC3F-F6CF-6542-9FA0-19011BC85AD6
Amanita,Character,,Green Lantern #20,Jan-92,N,Gerard Jones,writer,Continuity,,DC no longer has an active relationship with Jones due to criminal conviction.,,BD4D579F-35DE-0A43-9266-BC96312E74E6
,Character,,,,,Pat Broderick,"pencils, cover",WFH,,,,E753022E-5442-9344-96FC-79F23043F01D
,Character,,,,,Romeo Tanghal,inks,WFH,,,,1F389210-60B8-0744-A18C-24AA1C43D9C2
,Character,,,,,Anthony Tollin,color,N/A,,,,265D22FF-5344-5F49-906A-589D1D214CA5
Amazo,Character,Arrow 709,Brave & the Bold #30,Jun-60,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement is with heirs.,,2FF2FCD0-2C0E-1F47-98BC-5FD1B7D6B75D
,Character,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,ADD0D531-14C4-6042-89C9-31DB5E8773D1
,Character,,,,,Bernard Sachs,inks,None,,Deceased,,C1BDF694-A6FC-5C40-BD73-487090DBE066
,Character,,,,,Murphy Anderson,cover inks,None,,Deceased,,D58AA709-BF30-C141-9AF5-173DBE3BE213
Ambush Bug,Character,"Flash 207
(11/17/2015)",DC Comics Presents #52,Dec-82,N,Paul Kupperberg,writer,Exclusive; WFH Acknowledgment,,,,104C8A17-E8D3-B04B-84F7-4D3960C54607
,Character,,,,,Keith Giffen,"pencils, cover pencils",Creative Contributor,Y,,,D0BF4020-C60F-AF46-9DDC-6722365FB9BF
,Character,,,,,Sal Trapani,inks,None,,,,26EC92C9-22CE-664E-A496-F3BA9709CDAF
,Character,,,,,Dick Giordano,cover inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,93B1E08B-77F9-9240-9AA9-9C296AAB0AEF
,Character,,,,,Gene D'Angelo,color,N/A,,,,3BECDCC2-2554-1F46-BD5B-679E970AE317
"American Security Agency
(A.S.A.)",Property,Black Lightning 105,Batman & the Outsiders Annual #1,1984,N,Mike W. Barr,writer,Writer,,,,885E4CC4-83C9-8845-974D-D2057766EC14
,Property,,,,,Jerome Moore,pencils,WFH,,,,B031087F-A499-3E42-A0CA-3D1EAD576087
,Property,,,,,Alex Saviuk,pencils,WFH,,,,2C8F286C-0FED-5A49-B9F6-04A5DC40C12C
,Property,,,,,Jan Duursema,pencils,WFH,,,,818E9C96-8F02-4148-90E6-29FF42F74DCE
,Property,,,,,Rick Hoberg,pencils,WFH,,,,DCC725C7-FE99-D246-88D7-D7E8E0661E45
,Property,,,,,Jim Aparo,"inks, cover inks",Artist; WFH,,Deceased,,F5294A50-635D-6C42-BD26-A129F4986AA1
,Property,,,,,Frank Miller,cover pencils,WFH,,,,147A0788-9E9E-E046-9C56-EA54EA1D8C43
,Property,,,,,Adrienne Roy,color,Exclusive,,Deceased,,3F9B1351-24C2-3644-A3F4-1531E1F1E4C3
"American Virgin
f/k/a Virgin",Property,,American Virgin #1,May-06,Y,Steve Seagle,writer,Joint Creator/First & Last Rights; Writer,2004,This property reverted to the creators in 2013. The property and all associated characters are not available for use.,,395E9350-FB0B-AB46-970F-B4C38BDE187B
,Property,,,,,Rebecca Cloonan,"pencils, inks",Joint Creator/First & Last Rights; Artist,2005,,,AB0EA7E5-14C3-AF49-9F1F-D8153EDE0689
,Property,,,,,Brian Miller,color,N/A,,,,BBC73676-FFFB-054B-9B22-9802245621B1
,Property,,,,,"Vincent Deighan
(Frank Quitely)",cover,WFH,,,,E1B18EB3-D1E1-AF40-A2DC-19505F90733B
"Amethyst
(Amy Winston; Amaya; Amethyst, Princess of Gemworld )",Character,,"Legion of Super-Heroes #298
""Duel in Dark Magic""",Apr-83,N,Gary Cohn,writer,WFH,1981,,,B8738F87-9A1B-064D-9385-0D9C362D5D08
,Character,,,,,Dan Mishkin,writer,WFH,1981,,,2F3229F0-E6B7-CC43-8DD0-83691B04CAB9
